,KHM,Cambodia,Asia & Pacific,Developing
,CAN,Canada,North America,Developed
,CHN,China,Asia & Pacific,Developing
,COL,Columbia,South/Latin America,Developing
,CUB,Cuba,South/Latin America,Developing
,DOM,Dominican-Republic,South/Latin America,Developing
,ECU,Ecuador,South/Latin America,Developing
,SLV,El-Salvador,South/Latin America,Developing
,GBR,England,Europe,Developed
,FRA,France,Europe,Developed
,DEU,Germany,Europe,Developed
,GRC,Greece,Europe,Developed
,GTM,Guatemala,South/Latin America,Developing
,HTI,Haiti,South/Latin America,Developing
,NLD,Holand-Netherlands,Europe,Developed
,HND,Honduras,South/Latin America,Developing
,HKG,Hong Kong,Asia & Pacific,Developed
,HUN,Hungary,Europe,Developed
,IND,India,Asia & Pacific,Developing
,IRN,Iran,Middle East,Developing
,IRL,Ireland,Europe,Developed
,ITA,Italy,Europe,Developed
,JAM,Jamaica,South/Latin America,Developing
,JPN,Japan,Asia & Pacific,Developed
,LAO,Laos,Asia & Pacific,Developing
,MEX,Mexico,South/Latin America,Developing
,NIC,Nicaragua,South/Latin America,Developing
,GUM,Outlying-US(Guam-USVI-etc),Asia & Pacific,Developing
,PER,Peru,South/Latin America,Developing
,PHL,Philippines,Asia & Pacific,Developing
,POL,Poland,Europe,Developed
,PRT,Portugal,Europe,Developed
,PRI,Puerto-Rico,South/Latin America,Developing
,GB-SCT,Scotland,Europe,Developed
,?,South,South/Latin America,Developing
,TWN,Taiwan,Asia & Pacific,Developed
,THA,Thailand,Asia & Pacific,Developing
,TTO,Trinadad&Tobago,South/Latin America,Developing
,USA,United-States,North America,Developed
,VNM,Vietnam,Asia & Pacific,Developing
,YUG,Yugoslavia,Europe,Developed
,?,unknown,unknown,unknown
